Election for,Fife 2022 - Ward 13 - Glenrothes West & Kinglassie,,,,,,,,,
Date,26 Aug 2024,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,4588,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1148,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Julie Christina FORD (SNP),,Altany Steel Andrew CRAIK (Lab),,Ian ROBERTSON (Ind),,Keith William SMITH (LD),,
Julie Christina FORD (SNP),1740,-592,1148,,1148,,1148,,1148,Elected
Altany Steel Andrew CRAIK (Lab),1491,,1491,-343,1148,,1148,,1148,Elected
Craig WALKER (SNP),533,526.66056,1059.66056,44.62776,1104.28832,33.9533,1138.24162,48.7047,1186.94632,Elected
David CROLL (C),531,6.46418,537.46418,76.14324,613.60742,26.1022,639.70962,105.31728,745.0269,
Keith William SMITH (LD),174,8.16528,182.16528,92.93616,275.10144,52.47316,327.5746,-327.5746,-,
Ian ROBERTSON (Ind),119,9.86638,128.86638,34.73604,163.60242,-163.60242,-,,-,
Non-transferable, ,40.8436,40.8436,94.5568,135.4004,51.07376,186.47416,173.55262,360.02678,
Totals,4588,,4588,,4588,,4588,,4588,
 ,,,,,,,,,,
