"Election for","Irvine West"
"Date","24 May 2020"
"Number to be elected",4
"Valid votes",4505
"Invalid votes",0
"Quota",902.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Ian CLARKSON (Lab)",,"Scott GALLACHER (C)",,"Shaun MACAULAY (SNP)",,"Andrew CRAIG (Grn)",,"Bobby COCHRANE (SocLab)",,"Maria LIMONCI (SNP)",
"Ian CLARKSON (Lab)",1249,-347.00000,902.00000,,902.00000,,902.00000,,902.00000,,902.00000,,902.00000,"Elected"
"Bobby COCHRANE (SocLab)",76,+37.22788,113.22788,+7.20000,120.42788,+0.13120,120.55908,+18.40222,138.96130,-138.96130,"-",,"-",
"Andrew CRAIG (Grn)",96,+10.27934,106.27934,+10.56000,116.83934,+0.32800,117.16734,-117.16734,"-",,"-",,"-",
"Scott GALLACHER (C)",1025,,1025.00000,-123.00000,902.00000,,902.00000,,902.00000,,902.00000,,902.00000,"Elected"
"Maria LIMONCI (SNP)",707,+15.00228,722.00228,+3.48000,725.48228,+10.19424,735.67652,+33.74872,769.42524,+21.08602,790.51126,-790.51126,"-",
"Shaun MACAULAY (SNP)",914,,914.00000,,914.00000,-12.00000,902.00000,,902.00000,,902.00000,,902.00000,"Elected"
"Louise MCPHATER (Lab)",438,+230.86842,668.86842,+37.20000,706.06842,+0.45920,706.52762,+31.48730,738.01492,+65.97838,803.99330,+258.19844,1062.19174,"Elected"
"Non-transferable", ,+53.62208,53.62208,+64.56000,118.18208,+0.88736,119.06944,+33.52910,152.59854,+51.89690,204.49544,+532.31282,736.80826,
"Totals",4505,,4505.00000,,4505.00000,,4505.00000,,4505.00000,,4505.00000,,4505.00000
