"Election for","Ward 4 - Paisley Northwest"
"Date","09 May 2020"
"Number to be elected",4
"Valid votes",4863
"Invalid votes",0
"Quota",973.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","KENNY MACLAREN (SNP)",,"MAGS MACLAREN (SNP)",,"Sandra WEBSTER (SSP)",,"Jack CLARK (LD)",,"JOHN GOUDIE MCINTYRE (Ind)",,"Andy DOYLE (Ind)",,"Beth DOUGLAS (Grn)",,"Karen KENNEDY (Lab)",,"Tommy WILLIAMS (Lab)",
"Jack CLARK (LD)",123,+1.51956,124.51956,+3.54087,128.06043,+2.11563,130.17606,-130.17606,"-",,"-",,"-",,"-",,"-",,"-",
"Beth DOUGLAS (Grn)",188,+8.35758,196.35758,+41.20160,237.55918,+14.40491,251.96409,+31.18128,283.14537,+12.92055,296.06592,+63.49386,359.55978,-359.55978,"-",,"-",,"-",
"Andy DOYLE (Ind)",211,+3.79890,214.79890,+8.00380,222.80270,+4.43473,227.23743,+5.48452,232.72195,+51.92932,284.65127,-284.65127,"-",,"-",,"-",,"-",
"Karen KENNEDY (Lab)",850,+9.11736,859.11736,+11.31043,870.42779,+7.20347,877.63126,+23.66020,901.29146,+22.80362,924.09508,+47.11544,971.21052,+94.71270,1065.92322,-92.92322,973.00000,,973.00000,"Elected"
"KENNY MACLAREN (SNP)",1303,-330.00000,973.00000,,973.00000,,973.00000,,973.00000,,973.00000,,973.00000,,973.00000,,973.00000,,973.00000,"Elected"
"MAGS MACLAREN (SNP)",811,+289.22292,1100.22292,-127.22292,973.00000,,973.00000,,973.00000,,973.00000,,973.00000,,973.00000,,973.00000,,973.00000,"Elected"
"JOHN MCINTYRE (C)",657,+2.27934,659.27934,+2.03023,661.30957,+3.02928,664.33885,+27.37038,691.70923,+25.43473,717.14396,+34.39817,751.54213,+28.17365,779.71578,+6.52058,786.23636,+155.06454,941.30090,"Elected"
"JOHN GOUDIE MCINTYRE (Ind)",185,+2.78586,187.78586,+7.31151,195.09737,+2.60743,197.70480,+3.05856,200.76336,-200.76336,"-",,"-",,"-",,"-",,"-",
"Sandra WEBSTER (SSP)",42,+0.50652,42.50652,+6.32046,48.82698,-48.82698,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Tommy WILLIAMS (Lab)",493,+5.31846,498.31846,+7.40233,505.72079,+6.77434,512.49513,+14.48452,526.97965,+28.20347,555.18312,+37.48433,592.66745,+46.30103,638.96848,+63.81630,702.78478,-702.78478,"-",
"Non-transferable", ,+7.09350,7.09350,+40.10169,47.19519,+8.25719,55.45238,+24.93660,80.38898,+59.47167,139.86065,+102.15947,242.02012,+190.37240,432.39252,+22.58634,454.97886,+547.72024,1002.69910,
"Totals",4863,,4863.00000,,4863.00000,,4863.00000,,4863.00000,,4863.00000,,4863.00000,,4863.00000,,4863.00000,,4863.00000
