"Election for","Hilton/Woodside/Stockethill Ward"
"Date","12 Apr 2020"
"Number to be elected",3
"Valid votes",4537
"Invalid votes",0
"Quota",1135.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Neil Cameron COPLAND (SNP)",,"David Page HENDERSON (Ind)",,"Peter KENNEDY (Grn)",,"Sam PETCHEY (LD)",,"Lewis MACLEOD (Lab)",,"Lesley DUNBAR (Lab)",,"Lauren Stephanie WARDS (SNP)",
"Neil Cameron COPLAND (SNP)",1148,-13.00000,1135.00000,,1135.00000,,1135.00000,,1135.00000,,1135.00000,,1135.00000,,1135.00000,"Elected"
"Lesley DUNBAR (Lab)",818,+0.84900,818.84900,+25.03396,843.88296,+27.02264,870.90560,+43.03396,913.93956,+339.02264,1252.96220,-117.96220,1135.00000,,1135.00000,"Elected"
"David Page HENDERSON (Ind)",179,+0.37356,179.37356,-179.37356,"-",,"-",,"-",,"-",,"-",,"-",
"Freddie JOHN (C)",889,+0.19244,889.19244,+25.01132,914.20376,+19.00000,933.20376,+58.00000,991.20376,+28.02264,1019.22640,+20.44004,1039.66644,+195.55618,1235.22262,"Elected"
"Peter KENNEDY (Grn)",186,+0.45280,186.45280,+37.03396,223.48676,-223.48676,"-",,"-",,"-",,"-",,"-",
"Lewis MACLEOD (Lab)",369,+0.29432,369.29432,+10.01132,379.30564,+14.01132,393.31696,+52.02264,445.33960,-445.33960,"-",,"-",,"-",
"Sam PETCHEY (LD)",219,+0.19244,219.19244,+29.03396,248.22640,+60.04528,308.27168,-308.27168,"-",,"-",,"-",,"-",
"Lauren Stephanie WARDS (SNP)",729,+9.91632,738.91632,+22.16980,761.08612,+68.31696,829.40308,+55.10188,884.50496,+22.22640,906.73136,+18.29814,925.02950,-925.02950,"-",
"Non-transferable", ,+0.72912,0.72912,+31.07924,31.80836,+35.09056,66.89892,+100.11320,167.01212,+56.06792,223.08004,+79.22402,302.30406,+729.47332,1031.77738,
"Totals",4537,,4537.00000,,4537.00000,,4537.00000,,4537.00000,,4537.00000,,4537.00000,,4537.00000
