Ward,Candidate,Party,Votes
Appleton ,Jean Carter ,Lab ,810 
Appleton ,Phil Marshall ,C ,2663
Appleton ,Judith Mary Walker ,LD ,2850
Appleton ,Kenneth Robin Wilson ,Grn ,112 
Bewsey & Whitecross ,Ann Raymond ,LD ,1276 
Bewsey & Whitecross ,Stephen Howard Taylor ,C ,612
Bewsey & Whitecross ,Pat Wright ,Lab ,2132
Birchwood ,Russ Bowden ,Lab ,2314
Birchwood ,Christine Diane Oliver ,LD ,1265 
Birchwood ,Judith Hilary Wise ,C ,1653 
"Culcheth, Glazebury & Croft ",Merril Cummerson ,LD ,1374 
"Culcheth, Glazebury & Croft ",Les Hoyle ,C ,2904
"Culcheth, Glazebury & Croft ",Chris Vobe ,Lab ,1808 
Fairfield & Howley ,Doug Ashbrook ,LD ,1149 
Fairfield & Howley ,Sarah Joan Bradshaw ,LD ,1190 
Fairfield & Howley ,Peter Carey ,Lab ,2417
Fairfield & Howley ,Peter John Garner ,C ,912
Fairfield & Howley ,Tony Higgins,Lab ,2341
Fairfield & Howley ,Mike Phillips ,BNP ,468 
Grappenhall & Thelwall,Sonia Wendy Boggan ,C ,1884 
Grappenhall & Thelwall,Helen Jayne Dutton ,Lab ,998 
Grappenhall & Thelwall,Wendy Johnson ,LD ,2946
Great Sankey North ,Stephanie Davies ,Grn ,90 
Great Sankey North ,Philip John Eastham ,C ,807
Great Sankey North ,Tony Williams ,Lab ,1126 
Great Sankey North ,Trudi Margaret Wood ,LD ,1520
Great Sankey South ,Adam David Grant ,C,1367 
Great Sankey South ,Hitesh Patel ,Lab,2080
Great Sankey South ,Jim Regan,LD,1908 
Latchford East ,Roger Philip Cawthorne ,C ,472 
Latchford East ,Eddie Sloane ,LD,880 
Latchford East ,Steve Wright ,Lab,1860
Latchford West,Matthew Kirwan Edward Harris ,C ,625 
Latchford West,Maureen Penelope McLaughlin ,Lab ,1144 
Latchford West,Graham Welborn ,LD ,1614
Lymm ,Bob Barr ,LD ,2932
Lymm ,Harish Sharma ,C ,2660 
Lymm ,Su Williams ,Lab ,1363 
Orford ,Edgar John Davies ,LD ,861 
Orford ,Gareth Stephen Rowlinson ,C ,759
Orford ,Kelly Simcock ,Lab ,2587
Penketh & Cuerdley ,Peter Elton ,C ,1604 
Penketh & Cuerdley ,Veronica Ann Hudson ,LD ,1149 
Penketh & Cuerdley ,David Keane ,Lab ,1978
Penketh & Cuerdley ,Lyndsay McAteer ,Grn ,152 
Poplars & Hulme ,Bob Haskew-Jones ,LD ,807 
Poplars & Hulme ,John Kerr-Brown ,Lab ,2297
Poplars & Hulme ,John Alexander Lawson Leslie ,C ,810 
Poulton North,Susan Grant Jenkin ,C ,1111 
Poulton North,Geoff Settle ,Lab ,1888
Poulton North,Scott Wilson ,LD ,1857 
Poulton South,Andrew James Davis ,C ,909 
Poulton South,Dave Eccles ,LD ,816 
Poulton South,Lottie Ladbury ,Lab ,1868
Rixton & Woolston,Bill Brinksman ,Lab ,2363
Rixton & Woolston,Roger William Alistair Rankin ,C ,1517 
Rixton & Woolston,Ron Stafford ,LD ,1068 
Westbrook ,Robert James MacLaren ,C ,1012 
Westbrook ,Marina Smith ,LD ,1123 
Westbrook ,Natalie Smith ,Lab ,1227
Whittle Hall ,Steve Bradley ,C ,1603 
Whittle Hall ,Keith David Gleave ,LD ,2366
Whittle Hall ,Jan Hart ,Lab ,1734 
