"Polling","Council","Ward","Defending","Outgoing councillor","Cause","Remarks","Prev results","C cand","Lab cand","LD cand","Grn cand","UKIP cand","SNP/PC cand","Other cand"
"Postponed","Aberdeen","Kincorth/Nigg/Cove","SNP","Stephen Flynn MP","Resignation",,"tinyurl.com/y5zja7yt",,"Originally scheduled for 2020-05-14",,,,,
"Postponed","Adur","Eastbrook","Lab","Les Alden","Death","Originally 6MR","andrewteale.me.uk/i5290",,,,,,,
"Postponed","Amber Valley","Kilburn/Denby/Holbrook","C","Norman Bull","Death","Originally 6MR","andrewteale.me.uk/i6734",,,,,,,
"Postponed","Amber Valley","Somercotes","Lab","Brian Lyttle","Death",,"andrewteale.me.uk/i6739",,,,,,,
"Postponed","Barrow-in-Furness","Roosecte","C","Rory McClure","Death",,"andrewteale.me.uk/i5730",,,,,,,
"Postponed","Birmingham","Oscott","Lab","Keith Linnecor","Death",,"tinyurl.com/ry3fpu9",,,,,,,
"Postponed","Blaby","Stanton/Flamville","C","Sheila Scott","Resignation",,"andrewteale.me.uk/i7506",,,,,,,
"Postponed","Bolton","Westhoughton N/Chew Moor","C","Christine Wild","Death","Originally 6MR","andrewteale.me.uk/i643",,,,,,,
"Postponed","Bridgend","Nant-y-moel","Ind","David Owen","Resignation","Serving a 3yr prison sentence: conspiracy to steal, handling stolen goods","andrewteale.me.uk/i10851",,,,,,,
"Postponed","Cambs PCC",,"C","Jason Ablewhite","Resignation","Originally 6MR",,,,,,,,
"Postponed","Canterbury","Westgate","Lab","Gill Gower","Death",,"andrewteale.me.uk/i17459",,,,,,,
"Postponed","Chelmsford","Moulsham Lodge","LD","Mark Springott","Resignation",,"andrewteale.me.uk/i3810",,,,,,,
"Postponed","Cherwell","Kidlington W","C","Sandra Rhodes","Resignation","Originally 6MR","andrewteale.me.uk/i16573",,,,,,,
"Postponed","Ches E","Crewe W","Lab","Brian Roberts","Death",,"andrewteale.me.uk/i10940",,"Originally scheduled for 2020-04-23",,,,,
"Postponed","Chorley","Chorley NW","Ind","Ralph Snape","Death",,"andrewteale.me.uk/i3402",,,,,,,
"Postponed","Clacks","Clacks E","C","Bill Mason","Resignation",,"tinyurl.com/up4odh5",,"Originally scheduled for 2020-03-19",,,,,
"Postponed","Copeland","Whitehaven C","Lab","Sean Cullen","Disqualification","Non-attendance","tinyurl.com/qla4o9x",,"Originally scheduled for 2020-03-26",,,,,
"Postponed","Cornwall","St Mewan","C","Cherilyn Mackrory MP","Resignation","Elected as Cherilyn Williams","andrewteale.me.uk/i13162",,"Originally scheduled for 2020-04-16",,,,,
"Postponed","Crawley","Ifield","Lab","Geraint Thomas","Death",,"tinyurl.com/yyodpw4m",,,,,,,
"Postponed","Denbighshire","Corwen","PC","Huw Jones","Death",,"andrewteale.me.uk/i11784",,,,,,,
"Postponed","Durham PCC",,"Lab","Ron Hogg","Death","Originally 6MR",,,,,,,,
"Postponed","E Staffs","Eton Park","Lab","Sonia Andjelkovic","Death",,"andrewteale.me.uk/i5077",,"Originally scheduled for 2020-03-26",,,,,
"Postponed","E Staffs","Eton Park","Ind","Dale Spedding","Resignation",,"andrewteale.me.uk/i5077",,"Originally scheduled for 2020-03-26",,,,,
"Postponed","Edinburgh","Craigentinny/Duddingston","SNP","Ian Campbell","Resignation",,"tinyurl.com/ybvrr3eg",,,,,,,
