6 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
3 1 2 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2 1 2 3 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
14 1 2 3 4 5 6 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
4 1 3 5 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
3 2 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
18 2 3 4 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2 2 3 4 5 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
1 2 3 4 5 1 6 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
1 2 3 4 5 6 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
1 2 3 5 6 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
1 2 4 5 6 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
1 2 5 1 3 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
8 3 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1 3 1 5 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
1 3 2 1 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
1 3 2 1 4 5 6 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
6 3 4 5 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
5 4 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1 4 5 1 2 3 6 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
9 4 5 6 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
5 5 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1 5 3 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1 5 3 1 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
1 5 3 1 2 4 6 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
1 5 4 3 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
1 5 6 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1 5 6 4 3 2 1 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
1 6 4 5 3 2 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
1 6 5 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1 6 5 4 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
1 6 5 4 1 2 3 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2 6 5 4 3 2 1 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
"Philip CHARLES"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
"Karen KING"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
"Steven LIVINGSTON"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
"Christy MEARNS"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
"Angus MILLAR"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
"Ryan ROSS"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
"Ward 10 Anderston-City"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
