"Election for","North Isles Ward"
"Date","21 Apr 2020"
"Number to be elected",3
"Valid votes",1075
"Invalid votes",0
"Quota",269.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Graham SINCLAIR (Ind)",,"Billy MUIR (Ind)",,"Kevin WOODBRIDGE (Ind)",,"George Arthur MOWAT-BROWN (Ind)",,"Simon TARRY (Ind)",,"Ralph STEVENSON (Ind)",,"Stuart Roy McIVOR (Ind)",
"Stephen CLACKSON (Ind)",197,+3.62050,200.62050,+7.28964,207.91014,+1.07688,208.98702,+10.37755,219.36457,+12.15402,231.51859,+15.57474,247.09333,+74.82858,321.92191,"Elected"
"Stuart Roy McIVOR (Ind)",118,+2.53435,120.53435,+4.07241,124.60676,+0.94359,125.55035,+7.10020,132.65055,+10.53611,143.18666,+24.98897,168.17563,-168.17563,"-",
"George Arthur MOWAT-BROWN (Ind)",39,+0.50687,39.50687,+1.07241,40.57928,+0.56837,41.14765,-41.14765,"-",,"-",,"-",,"-",
"Billy MUIR (Ind)",35,+1.08615,36.08615,-36.08615,"-",,"-",,"-",,"-",,"-",,"-",
"Graham SINCLAIR (Ind)",290,-21.00000,269.00000,,269.00000,,269.00000,,269.00000,,269.00000,,269.00000,,269.00000,"Elected"
"Ralph STEVENSON (Ind)",70,+2.89640,72.89640,+4.28964,77.18604,+0.93634,78.12238,+14.24502,92.36740,+29.28800,121.65540,-121.65540,"-",,"-",
"Simon TARRY (Ind)",70,+2.75158,72.75158,+0.14482,72.89640,+0.57272,73.46912,+5.08161,78.55073,-78.55073,"-",,"-",,"-",
"Kevin WOODBRIDGE (Ind)",256,+5.35834,261.35834,+13.14482,274.50316,-5.50316,269.00000,,269.00000,,269.00000,,269.00000,,269.00000,"Elected"
"Non-transferable", ,+2.24581,2.24581,+6.07241,8.31822,+1.40526,9.72348,+4.34327,14.06675,+26.57260,40.63935,+81.09169,121.73104,+93.34705,215.07809,
"Totals",1075,,1075.00000,,1075.00000,,1075.00000,,1075.00000,,1075.00000,,1075.00000,,1075.00000
