Election for,Dumfries and Galloway 2022 - Ward 8 - Lochar,,,,,,,
Date,21 May 2025,,,,,,,
Number to be elected,4,,,,,,,
Valid votes,5326,,,,,,,
Invalid votes,0,,,,,,,
Quota,1066,,,,,,,
OpenSTV,1.7,,,,,,,
Election rules,Scottish STV,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,
 ,First,Surplus of,,Surplus of,,Surplus of,,
Candidates,Preferences,Tracey LITTLE (SNP),,Ivor HYSLOP (C),,Linda DORWARD (Lab),,
Tracey LITTLE (SNP),1787,-721,1066,,1066,,1066,Elected
Ivor HYSLOP (C),1348,,1348,-282,1066,,1066,Elected
Linda DORWARD (Lab),1166,,1166,,1166,-100,1066,Elected
Maureen JOHNSTONE (C),772,38.3287,810.3287,248.51772,1058.84642,19.55328,1078.3997,Elected
Sandy ROGERSON (Grn),253,480.92432,733.92432,6.69408,740.6184,35.67616,776.29456,
Non-transferable, ,201.74698,201.74698,26.7882,228.53518,44.77056,273.30574,
Totals,5326,,5326,,5326,,5326,
 ,,,,,,,,
