"Election for","Giffnock and Thornliebank"
"Date","08 Jun 2020"
"Number to be elected",3
"Valid votes",7595
"Invalid votes",0
"Quota",1899.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Alan FINDLAY (Libtn)",,"Gordon MCCASKILL (Ind)",,"Christopher PARK (LD)",,"Savio Andrew D'SOUZA (Ins)",,"Colm MERRICK (SNP)",,"Paul SMITH (C)",,"Gordon WALLACE (C)",,"Paul DRURY (Ind)",
"Savio Andrew D'SOUZA (Ins)",456,+4.00000,460.00000,+10.00000,470.00000,+37.00000,507.00000,-507.00000,"-",,"-",,"-",,"-",,"-",
"Paul DRURY (Ind)",859,+3.00000,862.00000,+14.00000,876.00000,+37.00000,913.00000,+172.00000,1085.00000,+23.04288,1108.04288,+41.04572,1149.08860,+160.06737,1309.15597,-1309.15597,"-",
"Alan FINDLAY (Libtn)",32,-32.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Jim FLETCHER (Lab)",1431,+4.00000,1435.00000,+3.00000,1438.00000,+68.00000,1506.00000,+109.00000,1615.00000,+34.74720,1649.74720,+65.32004,1715.06724,+122.67281,1837.74005,+386.67604,2224.41609,"Elected"
"Gordon MCCASKILL (Ind)",48,+2.00000,50.00000,-50.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Colm MERRICK (SNP)",1853,+2.00000,1855.00000,+5.00000,1860.00000,+38.00000,1898.00000,+92.00000,1990.00000,-91.00000,1899.00000,,1899.00000,,1899.00000,,1899.00000,"Elected"
"Christopher PARK (LD)",266,+8.00000,274.00000,+4.00000,278.00000,-278.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Paul SMITH (C)",899,+5.00000,904.00000,+1.00000,905.00000,+38.00000,943.00000,+33.00000,976.00000,+2.56032,978.56032,-978.56032,"-",,"-",,"-",
"Gordon WALLACE (C)",1751,+2.00000,1753.00000,+5.00000,1758.00000,+26.00000,1784.00000,+41.00000,1825.00000,+1.46304,1826.46304,+794.05156,2620.51460,-721.51460,1899.00000,,1899.00000,"Elected"
"Non-transferable", ,+2.00000,2.00000,+8.00000,10.00000,+34.00000,44.00000,+60.00000,104.00000,+29.18656,133.18656,+78.14300,211.32956,+438.77442,650.10398,+922.47993,1572.58391,
"Totals",7595,,7595.00000,,7595.00000,,7595.00000,,7595.00000,,7595.00000,,7595.00000,,7595.00000,,7595.00000
