"Election for","South Lanarkshire May 2022 - Ward 10 - East Kilbride East"
"Date","04 Aug 2023"
"Number to be elected",1
"Valid votes",4921
"Invalid votes",0
"Quota",2138.50
"OpenSTV","1.7"
"Election rules","ERS97 STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Lorna Gall (LD)",,"Jim Wardhaugh (Ind)",,"Robert Gillies (SNP)",,"Graeme Mullin (C)",,"Kirsten Robb (Grn)",
"Gladys Ferguson-Miller (SNP)",1420,+9.00,1429.00,+52.00,1481.00,+371.00,1852.00,+24.00,1876.00,+355.00,2231.00,"Elected"
"Lorna Gall (LD)",126,-126.00,"-",,"-",,"-",,"-",,"-",
"Robert Gillies (SNP)",420,+5.00,425.00,+21.00,446.00,-446.00,"-",,"-",,"-",
"Graeme Mullin (C)",664,+23.00,687.00,+52.00,739.00,+2.00,741.00,-741.00,"-",,"-",
"Kirsten Robb (Grn)",626,+22.00,648.00,+64.00,712.00,+37.00,749.00,+58.00,807.00,-807.00,"-",
"Graham Scott (Lab)",1329,+39.00,1368.00,+92.00,1460.00,+20.00,1480.00,+367.00,1847.00,+199.00,2046.00,
"Jim Wardhaugh (Ind)",336,+11.00,347.00,-347.00,"-",,"-",,"-",,"-",
"Non-transferable", ,+17.00,17.00,+66.00,83.00,+16.00,99.00,+292.00,391.00,+253.00,644.00,
"Totals",4921,,4921.00,,4921.00,,4921.00,,4921.00,,4921.00
