Polling,Council,ID,Ward,ID,Defending,Outgoing councillor,Cause,Remarks,Prev results,C cand,Lab cand,LD cand,Grn cand,RUK cand,SNP/PC cand,Other cand
,Cotswold,210,St Michael's,16815,LD,Joe Harris,Resignation,,andrewteale.me.uk/iuqr,,,,,,,
,Dorset,463,St Leonards/St Ives,20997,C,Barry Goringe,Death,,andrewteale.me.uk/ikkv,,,,,,,
,E Devon,171,Exmouth Brixington,19986,C,Cherry Nicholas,Resignation,,andrewteale.me.uk/ixmu,,,,,,,
,Ealing,5,N Acton,21430,Grn,Simon Anthony,Resignation,,andrewteale.me.uk/ipyv,,,,,,,
,Eastleigh,217,Hedge End S,19164,LD,Cynthia Garton,Death,,andrewteale.me.uk/i0vt,,,,,,,
,Flintshire,424,Argoed/New Brighton,23184,LD,Hilary McGuill,Death,,andrewteale.me.uk/iukx,,,,,,,
,Gateshead,52,High Fell,25487,RUK,Danielle Cavanagh,Resignation,,andrewteale.me.uk/impz,,,,,,,
,Gwynedd,425,Llanrug,23154,PC,Beca Brown MS,Resignation,Gwynedd Maldwyn,andrewteale.me.uk/ixjx,,,,,,,
,Hackney,7,Dalston,12953,Grn,Zoë Garbett,Mayoral,,andrewteale.me.uk/it5m,,,,,,,
,Hackney,7,Hackney C,12955,Grn,James Tilden,Disqualification,Employed by the council,andrewteale.me.uk/iv5m,,,,,,,
,Harborough,262,Lutterworth E,19380,Lab,David Gair,Death,,andrewteale.me.uk/i6gu,,,,,,,
,Haringey,9,Northumberland Park,21728,Grn,Jayon Henriques,Disqualification,Previous criminal conviction,andrewteale.me.uk/iq7v,,,,,,,
,Haringey,9,Woodside,21737,Lab,Hasret Bozdogan,Resignation,,andrewteale.me.uk/iz7v,,,,,,,
,Hertsmere,229,Bushey Park,20109,LD,Shailain Shah,Death,,andrewteale.me.uk/inru,,,,,,,
,House of Commons,,Aberdeen S,,SNP,Stephen Flynn MSP,Resignation,Aberdeen Deeside/N Kincardine,,,,,,,,
,House of Commons,,Arbroath/Broughty Ferry,,SNP,Stephen Gethins MSP,Resignation,Dundee City E,,,,,,,,
,Isle of Anglesey,421,Bro'r Llynnoedd,22598,PC,Ken Taylor,Death,,andrewteale.me.uk/i20w,,,,,,,
,Lambeth,26,Clapham Park,23354,Grn,Joanna Eaves,Resignation,,andrewteale.me.uk/izqx,,,,,,,
,Lambeth,26,Streatham St Leonard's,23368,Grn,Saiqa Ali,Resignation,,andrewteale.me.uk/ierx,,,,,,,
