"Election for","Highland 2022 - Ward 9 - Black Isle"
"Date","01 Aug 2024"
"Number to be elected",3
"Valid votes",4709
"Invalid votes",0
"Quota",1178.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
 ,"First","Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
 "Candidates","Preferences","Margaret BRYANT (Lab)",,"Lyndsey JOHNSTON (SNP)",,"Bev SMITH (Ind)",,"Okain John MCLENNAN (Ind)",,"Anne THOMAS (Grn)",,"Sarah ATKIN (Ind)",,"Theo STRATTON (C)",
 "Sarah ATKIN (Ind)",634,+26.00000,660.00000,+1.76851,661.76851,+108.12257,769.89108,+177.42024,947.31132,+248.50393,1195.81525,-17.81525,1178.00000,,1178.00000,"Elected"
 "Margaret BRYANT (Lab)",243,-243.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Lyndsey JOHNSTON (SNP)",1171,+28.00000,1199.00000,-21.00000,1178.00000,,1178.00000,,1178.00000,,1178.00000,,1178.00000,,1178.00000,"Elected"
 "Morven-May MACCALLUM (LD)",739,+87.00000,826.00000,+3.37943,829.37943,+40.12257,869.50200,+58.17510,927.67710,+219.04867,1146.72577,+6.83879,1153.56456,+340.98933,1494.55389,"Elected"
 "Okain John MCLENNAN (Ind)",317,+21.00000,338.00000,+1.31325,339.31325,+63.17510,402.48835,-402.48835,"-",,"-",,"-",,"-",
 "Bev SMITH (Ind)",286,+12.00000,298.00000,+0.82297,298.82297,-298.82297,"-",,"-",,"-",,"-",,"-",
 "Theo STRATTON (C)",695,+8.00000,703.00000,+0.21012,703.21012,+24.00000,727.21012,+47.03502,774.24514,+15.07004,789.31518,+2.23480,791.54998,-791.54998,"-",
 "Anne THOMAS (Grn)",624,+22.00000,646.00000,+9.70054,655.70054,+27.24514,682.94568,+30.29767,713.24335,-713.24335,"-",,"-",,"-",
 "Non-transferable", ,+39.00000,39.00000,+3.80518,42.80518,+36.15759,78.96277,+89.56032,168.52309,+230.62071,399.14380,+8.74166,407.88546,+450.56065,858.44611,
 "Totals",4709,,4709.00000,,4709.00000,,4709.00000,,4709.00000,,4709.00000,,4709.00000,,4709.00000
 
