"Election for","Highland 2022 - Ward 13 - Inverness West"
"Date","01 Aug 2024"
"Number to be elected",3
"Valid votes",3503
"Invalid votes",0
"Quota",876.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
 ,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","Alex GRAHAM (LD)",,"Bill BOYD (SNP)",,"David SANSUM (Ind)",,"Iain FORSYTH (IndScot)",,"Helen SMITH (Ind)",,"Duncan MCDONALD (Ind)",,"Shaun Alexander FRASER (Lab)",,"Ryan FORBES (C)",
 "Bill BOYD (SNP)",1092,,1092.00000,-216.00000,876.00000,,876.00000,,876.00000,,876.00000,,876.00000,,876.00000,,876.00000,"Elected"
 "Ryan FORBES (C)",327,+51.33698,378.33698,+4.74720,383.08418,+1.80634,384.89052,+5.45558,390.34610,+13.15024,403.49634,+50.60510,454.10144,+84.53352,538.63496,-538.63496,"-",
 "Iain FORSYTH (IndScot)",46,+9.67608,55.67608,+40.35120,96.02728,+1.26878,97.29606,-97.29606,"-",,"-",,"-",,"-",,"-",
 "Shaun Alexander FRASER (Lab)",295,+66.11988,361.11988,+28.08760,389.20748,+0.19780,389.40528,+12.52798,401.93326,+7.69194,409.62520,+44.21506,453.84026,-453.84026,"-",,"-",
 "Alex GRAHAM (LD)",1198,-322.00000,876.00000,,876.00000,,876.00000,,876.00000,,876.00000,,876.00000,,876.00000,,876.00000,"Elected"
 "Ryan MACKINTOSH (Grn)",262,+37.36042,299.36042,+82.28480,381.64522,+3.66438,385.30960,+30.65732,415.96692,+32.11724,448.08416,+35.20478,483.28894,+113.97824,597.26718,+93.14692,690.41410,"Elected"
 "Duncan MCDONALD (Ind)",173,+53.75600,226.75600,+8.90100,235.65700,+1.26878,236.92578,+10.91530,247.84108,+38.43972,286.28080,-286.28080,"-",,"-",,"-",
 "David SANSUM (Ind)",10,+5.10682,15.10682,+1.97800,17.08482,-17.08482,"-",,"-",,"-",,"-",,"-",,"-",
 "Helen SMITH (Ind)",100,+20.96484,120.96484,+5.93400,126.89884,+3.61268,130.51152,+6.97800,137.48952,-137.48952,"-",,"-",,"-",,"-",
 "Non-transferable", ,+77.67898,77.67898,+43.71620,121.39518,+5.26606,126.66124,+30.76188,157.42312,+46.09038,203.51350,+156.25586,359.76936,+255.32850,615.09786,+445.48804,1060.58590,
 "Totals",3503,,3503.00000,,3503.00000,,3503.00000,,3503.00000,,3503.00000,,3503.00000,,3503.00000,,3503.00000
 
