"Polling","Council","Ward","ID","Defending","Outgoing councillor","Cause","Remarks","Prev results","C cand","Lab cand","LD cand","Grn cand","SNP/PC cand","Other cand"
"2021-12-09","Rotherham","Aughton/Swallownest",20049,"C","Jack Austin","Resignation",,"andrewteale.me.uk/iupu",,,,,,
"2021-12-09","Tonbridge/Malling","Castle",16709,"C","Karen King","Resignation",,"andrewteale.me.uk/immr",,,,,,
"2021-12-09","Tonbridge/Malling","Kings Hill",16717,"C","Millie Langridge","Disqualification","Non-attendance","andrewteale.me.uk/ivmr",,,,,,
"2021-12-09","Tonbridge/Malling","W Malling/Leybourne",16726,"C","Liam O'Toole","Resignation",,"andrewteale.me.uk/i4mr",,,,,,
"2021-12-09","Torridge","Northam",19700,"Ind","Giuseppe Rossi","Disqualification","Non-attendance","andrewteale.me.uk/i8cu",,,,,,
"2021-12-14","Renfs","Paisley SE",18508,"Ind","Paul Mack","Disqualification","Standards Commission for Scotland","andrewteale.me.uk/i48s",,,,,,
"2021-12-16","Argyll/Bute","Lomond N",10494,"C","Barbara Morgan","Resignation",,"andrewteale.me.uk/i9wk",,,,,,
"2021-12-16","Bridgend","Caerau",10836,"Lab","Phil White","Death",,"andrewteale.me.uk/in7k",,,,,,
"2021-12-16","House of Commons","N Salop",,"C","Owen Paterson","Resignation",,,,,,,,
"2021-12-16","Medway","Rochester E",2103,"Lab","Nick Bowler","Death",,"andrewteale.me.uk/i06b",,,,,,
"2021-12-16","Middlesbrough","N Ormesby",17168,"Ind","Ashley Waters","Resignation",,"andrewteale.me.uk/ij1r",,,,,,
"2021-12-16","Northumberland","Hexham E",14327,"C","Cath Homer","Resignation",,"andrewteale.me.uk/iffp",,,,,,
"2021-12-16","W Berks","Tilehurst S/Holybrook",20139,"C","Peter Argyle","Death",,"andrewteale.me.uk/iksu",,,,,,
"2021-12-16","W Lindsey","Nettleham",19409,"C","Giles McNeill","Resignation","Fraud conviction","andrewteale.me.uk/if3t",,,,,,
"2021-12-16","Walsall","Pleck",1290,"Lab","Harbans Singh Sarohi","Death",,"andrewteale.me.uk/idgb",,,,,,
,"Charnwood","Loughborough Shelthorpe",7521,"Lab","Gill Bolton","Death",,"andrewteale.me.uk/i65g",,,,,,
,"Dartford","Maypole/Leyton X",20653,"C","Ann Allen","Death",,"andrewteale.me.uk/i47u",,,,,,
,"Durham","Ferryhill",14624,"Ind","Brian Avery","Death",,"andrewteale.me.uk/ifqp",,,,,,
,"E Lothian","Preston/Seton/Gosford",18354,"Lab","Willie Innes","Death","Leader of the Council","andrewteale.me.uk/ig4s",,,,,,
,"Harrow","Kenton W",186,"C","Vina Mithani","Death",,"andrewteale.me.uk/ixfa",,,,,,
,"Horsham","Roffey S",19481,"C","Roy Cornell","Resignation",,"andrewteale.me.uk/im5t",,,,,,
,"House of Commons","Southend W",,"C","Sir David Amess","Death",,,,,,,,
,"Kent CC","Wilmington",18262,"C","Ann Allen","Death","Chairman","andrewteale.me.uk/ip1s",,,,,,
,"Knowsley","Page Moss",17497,"Lab","Andy Moorhead","Resignation",,"andrewteale.me.uk/i4rs",,,,,,
,"Merthyr Tydfil","Vaynor",2103,"Ind","Howard Barrett","Death",,"andrewteale.me.uk/it5k",,,,,,
,"Rutland","Ryhall/Casterton",1593,"C","Richard Coleman","Resignation","Elected in by-election 2019-09-12","andrewteale.me.uk/ikrb",,,,,,
,"Torfaen","Blaenavon",11456,"Lab","Alan Jones","Resignation",,"andrewteale.me.uk/iftl",,,,,,
,"Welwyn Hatfield","Welwyn E",16794,"C","Steven Markiewicz","Death",,"andrewteale.me.uk/i6pr",,,,,,
,"Wychavon","The Littletons",5605,"C","Richard Lasota","Death",,"andrewteale.me.uk/i4ef",,,,,,
