Election for,Eilean Siar 2022 - Ward 8 - Loch a Tuath,,,
Date,30 Jul 2025,,,
Number to be elected,3,,,
Valid votes,1121,,,
Invalid votes,0,,,
Quota,281,,,
OpenSTV,1.7,,,
Election rules,Scottish STV,,,
 ,,Stage,2,
 ,First,Surplus of,,
Candidates,Preferences,Donald Finlayson CRICHTON (Ind),,
Donald Finlayson CRICHTON (Ind),461,-180,281,Elected
Calum MACLEAN (Ind),249,80.82315,329.82315,Elected
John A MACIVER (SNP),246,35.1405,281.1405,Elected
Catriona MURRAY (Ind),126,42.1686,168.1686,
Hazel Glenys MANSFIELD (Ind),39,7.0281,46.0281,
Non-transferable, ,14.83965,14.83965,
Totals,1121,,1121,
 ,,,,
