"Election for","Musselburgh"
"Date","06 Jun 2020"
"Number to be elected",4
"Valid votes",7608
"Invalid votes",0
"Quota",1522.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Stuart McDonald CURRIE (SNP)",,"Theresa SIVES (Ind)",,"Claire Frances GRAHAM (LD)",,"Katie MACKIE (C)",,"Jason ROSE (Grn)",,"Katherine SANGSTER (Lab)",,"Andy FORREST (Lab)",,"John Murray CALDWELL (Ind)",
"John Murray CALDWELL (Ind)",804,+5.35696,809.35696,+34.00000,843.35696,+53.38264,896.73960,+10.97142,907.71102,+77.40494,985.11596,+30.57874,1015.69470,+91.81443,1107.50913,-1107.50913,"-",
"Stuart McDonald CURRIE (SNP)",1683,-161.00000,1522.00000,,1522.00000,,1522.00000,,1522.00000,,1522.00000,,1522.00000,,1522.00000,,1522.00000,"Elected"
"Andy FORREST (Lab)",1178,+9.66166,1187.66166,+5.00000,1192.66166,+74.19132,1266.85298,+7.95588,1274.80886,+87.93948,1362.74834,+561.28580,1924.03414,-402.03414,1522.00000,,1522.00000,"Elected"
"Claire Frances GRAHAM (LD)",470,+3.44376,473.44376,+14.00000,487.44376,-487.44376,"-",,"-",,"-",,"-",,"-",,"-",
"Katie MACKIE (C)",1472,+1.72188,1473.72188,+5.00000,1478.72188,+91.09566,1569.81754,-47.81754,1522.00000,,1522.00000,,1522.00000,,1522.00000,,1522.00000,"Elected"
"Jason ROSE (Grn)",497,+9.94864,506.94864,+13.19132,520.13996,+109.86094,630.00090,+3.51163,633.51253,-633.51253,"-",,"-",,"-",,"-",
"Katherine SANGSTER (Lab)",568,+2.48716,570.48716,+9.09566,579.58282,+58.19132,637.77414,+6.61273,644.38687,+97.84382,742.23069,-742.23069,"-",,"-",,"-",
"Theresa SIVES (Ind)",96,+0.66962,96.66962,-96.66962,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"John Charles WILLIAMSON (SNP)",840,+120.62726,960.62726,+7.28698,967.91424,+39.86094,1007.77518,+0.77023,1008.54541,+232.49194,1241.03735,+36.52628,1277.56363,+45.25125,1322.81488,+259.93348,1582.74836,"Elected"
"Non-transferable", ,+7.08306,7.08306,+9.09566,16.17872,+60.86094,77.03966,+17.99565,95.03531,+137.83235,232.86766,+113.83987,346.70753,+264.96846,611.67599,+847.57565,1459.25164,
"Totals",7608,,7608.00000,,7608.00000,,7608.00000,,7608.00000,,7608.00000,,7608.00000,,7608.00000,,7608.00000
