"Election for","Preston, Seton and Gosford"
"Date","06 Jun 2020"
"Number to be elected",4
"Valid votes",7397
"Invalid votes",0
"Quota",1480.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Willie INNES (Lab)",,"Lachlan BRUCE (C)",,"Lesley Anne ORR (Grn)",,"Ghill Duncan DONALD (LD)",,"Brian WEDDELL (Lab)",,"Fiona O'DONNELL (Lab)",,"Janis WILSON (SNP)",
"Lachlan BRUCE (C)",1784,,1784.00000,-304.00000,1480.00000,,1480.00000,,1480.00000,,1480.00000,,1480.00000,,1480.00000,"Elected"
"Ghill Duncan DONALD (LD)",180,+4.09929,184.09929,+76.33920,260.43849,+39.15006,299.58855,-299.58855,"-",,"-",,"-",,"-",
"Neil George GILBERT (SNP)",1197,+10.51557,1207.51557,+7.83840,1215.35397,+45.04589,1260.39986,+27.42366,1287.82352,+5.89115,1293.71467,+28.11156,1321.82623,+880.15160,2201.97783,"Elected"
"Willie INNES (Lab)",1801,-321.00000,1480.00000,,1480.00000,,1480.00000,,1480.00000,,1480.00000,,1480.00000,,1480.00000,"Elected"
"Fiona O'DONNELL (Lab)",932,+231.52077,1163.52077,+62.53680,1226.05757,+35.29350,1261.35107,+107.80761,1369.15868,+449.09553,1818.25421,-338.25421,1480.00000,,1480.00000,"Elected"
"Lesley Anne ORR (Grn)",230,+4.45575,234.45575,+15.33600,249.79175,-249.79175,"-",,"-",,"-",,"-",,"-",
"Brian WEDDELL (Lab)",429,+41.52759,470.52759,+14.65440,485.18199,+15.40235,500.58434,+19.82383,520.40817,-520.40817,"-",,"-",,"-",
"Janis WILSON (SNP)",844,+8.19858,852.19858,+2.21520,854.41378,+67.52686,921.94064,+13.85200,935.79264,+15.58841,951.38105,+23.85504,975.23609,-975.23609,"-",
"Non-transferable", ,+20.68245,20.68245,+125.08000,145.76245,+47.37309,193.13554,+130.68145,323.81699,+49.83308,373.65007,+286.28761,659.93768,+95.08449,755.02217,
"Totals",7397,,7397.00000,,7397.00000,,7397.00000,,7397.00000,,7397.00000,,7397.00000,,7397.00000
