"Election for","Ward 2 - Grangemouth"
"Date","13 May 2020"
"Number to be elected",3
"Valid votes",5604
"Invalid votes",0
"Quota",1402.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","David BALFOUR (SNP)",,"Judith MCLAUGHLIN (Grn)",,"Margaret-Anne MILNE (SNP)",,"Allyson BLACK (Lab)",,"James BUNDY (C)",
"David BALFOUR (SNP)",1510,-108.00000,1402.00000,,1402.00000,,1402.00000,,1402.00000,,1402.00000,"Elected"
"Allyson BLACK (Lab)",1301,+8.43936,1309.43936,+23.28608,1332.72544,+150.80464,1483.53008,-81.53008,1402.00000,,1402.00000,"Elected"
"James BUNDY (C)",1030,+1.78800,1031.78800,+8.21456,1040.00256,+34.57472,1074.57728,+19.82158,1094.39886,-1094.39886,"-",
"Judith MCLAUGHLIN (Grn)",107,+2.71776,109.71776,-109.71776,"-",,"-",,"-",,"-",
"Margaret-Anne MILNE (SNP)",676,+80.81760,756.81760,+42.57344,799.39104,-799.39104,"-",,"-",,"-",
"Robert SPEARS (Ind)",980,+8.08176,988.08176,+16.50064,1004.58240,+242.53392,1247.11632,+27.34608,1274.46240,+559.72850,1834.19090,"Elected"
"Non-transferable", ,+6.15552,6.15552,+19.14304,25.29856,+371.47776,396.77632,+34.36242,431.13874,+534.67036,965.80910,
"Totals",5604,,5604.00000,,5604.00000,,5604.00000,,5604.00000,,5604.00000
