"Election for","Elgin City South"
"Date","07 Jun 2020"
"Number to be elected",3
"Valid votes",4061
"Invalid votes",0
"Quota",1016.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2
,"First","Surplus of",
"Candidates","Preferences","Ray MCLEAN (C)",
"John DIVERS (Lab)",1009,+117.07850,1126.07850,"Elected"
"Graham LEADBITTER (SNP)",1245,,1245.00000,"Elected"
"Sean MALONE (Ind)",347,+183.98050,530.98050,
"Ray MCLEAN (C)",1460,-444.00000,1016.00000,"Elected"
"Non-transferable", ,+142.94100,142.94100,
"Totals",4061,,4061.00000
