"Election for","Ward 9 - East Kilbride West"
"Date","02 May 2020"
"Number to be elected",3
"Valid votes",6342
"Invalid votes",0
"Quota",1586.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Ian HARROW (C)",,"David MACKAY (UKIP)",,"Billy MCLEAN (Grn)",,"Monique MCADAMS (Lab)",,"Ewan Alexander MCROBERT (LD)",,"Ali SALAMATI (SNP)",
"Ian HARROW (C)",2363,-777.00000,1586.00000,,1586.00000,,1586.00000,,1586.00000,,1586.00000,,1586.00000,"Elected"
"David MACKAY (UKIP)",49,+90.75156,139.75156,-139.75156,"-",,"-",,"-",,"-",,"-",
"Monique MCADAMS (Lab)",1315,+214.05531,1529.05531,+42.30480,1571.36011,+40.60334,1611.96345,-25.96345,1586.00000,,1586.00000,,1586.00000,"Elected"
"Billy MCLEAN (Grn)",194,+22.03027,216.03027,+13.26096,229.29123,-229.29123,"-",,"-",,"-",,"-",
"Ewan Alexander MCROBERT (LD)",223,+151.25260,374.25260,+22.46764,396.72024,+50.16597,446.88621,+10.68879,457.57500,-457.57500,"-",,"-",
"Ali SALAMATI (SNP)",900,+14.13883,914.13883,+2.98643,917.12526,+68.98643,986.11169,+2.28505,988.39674,+76.67063,1065.06737,-1065.06737,"-",
"David WATSON (SNP)",1298,+21.37265,1319.37265,+3.00000,1322.37265,+47.98643,1370.35908,+2.78967,1373.14875,+53.98776,1427.13651,+961.36785,2388.50436,"Elected"
"Non-transferable", ,+263.39878,263.39878,+55.73173,319.13051,+21.54906,340.67957,+10.19994,350.87951,+326.91661,677.79612,+103.69952,781.49564,
"Totals",6342,,6342.00000,,6342.00000,,6342.00000,,6342.00000,,6342.00000,,6342.00000
