"Election for","Ward 1 - Clydesdale West"
"Date","02 May 2020"
"Number to be elected",4
"Valid votes",7246
"Invalid votes",0
"Quota",1450.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Poppy CORBETT (C)",,"David SHEARER (SNP)",,"Eileen LOGAN (Lab)",,"Pat LEE (Sol)",,"Mandy MEIKLE (Grn)",,"Peter Charles MEEHAN (LD)",,"Chris TRAVIS (SNP)",
"Poppy CORBETT (C)",2264,-814.00000,1450.00000,,1450.00000,,1450.00000,,1450.00000,,1450.00000,,1450.00000,,1450.00000,"Elected"
"Lynsey HAMILTON (Lab)",839,+210.33090,1049.33090,+5.89587,1055.22677,+78.29199,1133.51876,+27.03561,1160.55437,+32.10617,1192.66054,+129.66986,1322.33040,+293.67803,1616.00843,"Elected"
"Pat LEE (Sol)",90,+17.61746,107.61746,+2.49825,110.11571,+1.55547,111.67118,-111.67118,"-",,"-",,"-",,"-",
"Eileen LOGAN (Lab)",1566,,1566.00000,,1566.00000,-116.00000,1450.00000,,1450.00000,,1450.00000,,1450.00000,,1450.00000,"Elected"
"Peter Charles MEEHAN (LD)",148,+166.46702,314.46702,+1.69881,316.16583,+6.96258,323.12841,+11.69078,334.81919,+37.52693,372.34612,-372.34612,"-",,"-",
"Mandy MEIKLE (Grn)",118,+29.48228,147.48228,+4.59678,152.07906,+2.44431,154.52337,+17.27604,171.79941,-171.79941,"-",,"-",,"-",
"David SHEARER (SNP)",1611,,1611.00000,-161.00000,1450.00000,,1450.00000,,1450.00000,,1450.00000,,1450.00000,,1450.00000,"Elected"
"Chris TRAVIS (SNP)",610,+16.89838,626.89838,+136.60431,763.50269,+6.59223,770.09492,+14.15898,784.25390,+47.09502,831.34892,+35.84381,867.19273,-867.19273,"-",
"Non-transferable", ,+373.20396,373.20396,+9.70598,382.90994,+20.15342,403.06336,+41.50977,444.57313,+55.07129,499.64442,+206.83245,706.47687,+573.51470,1279.99157,
"Totals",7246,,7246.00000,,7246.00000,,7246.00000,,7246.00000,,7246.00000,,7246.00000,,7246.00000
