"Election for","Ward 16 - Bothwell and Uddingston"
"Date","02 May 2020"
"Number to be elected",3
"Valid votes",5248
"Invalid votes",0
"Quota",1313.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Kenny MCCREARY (C)",,"Maureen DEVLIN (Lab)",,"James FERGUSON (Grn)",,"Phil SYKES (SNP)",
"Maureen DEVLIN (Lab)",1362,,1362.00000,-49.00000,1313.00000,,1313.00000,,1313.00000,"Elected"
"James FERGUSON (Grn)",106,+28.48370,134.48370,+5.53938,140.02308,-140.02308,"-",,"-",
"Kenny MCCREARY (C)",1851,-538.00000,1313.00000,,1313.00000,,1313.00000,,1313.00000,"Elected"
"James MCGUIGAN (SNP)",1132,+18.31095,1150.31095,+7.76952,1158.08047,+60.91366,1218.99413,+330.91366,1549.90779,"Elected"
"Colin ROBB (LD)",450,+250.83095,700.83095,+17.08575,717.91670,+38.83600,756.75270,+16.79712,773.54982,
"Phil SYKES (SNP)",347,+5.81300,352.81300,+1.69059,354.50359,+14.97697,369.48056,-369.48056,"-",
"Non-transferable", ,+234.56140,234.56140,+16.91476,251.47616,+25.29645,276.77261,+21.76978,298.54239,
"Totals",5248,,5248.00000,,5248.00000,,5248.00000,,5248.00000
