"Election for","Maryfield"
"Date","23 May 2020"
"Number to be elected",3
"Valid votes",4095
"Invalid votes",0
"Quota",1024.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Ken LYNN (SNP)",,"Robbie MCKAIG (LD)",,"Jenny Marion Margaret BLAIN (LD)",,"Stuart FAIRWEATHER (TUSC)",
"Jenny Marion Margaret BLAIN (LD)",168,+1.21933,169.21933,+25.52257,194.74190,-194.74190,"-",,"-",
"James CLANCY (C)",722,+0.87095,722.87095,+4.00000,726.87095,+49.00000,775.87095,+17.00000,792.87095,
"Georgia CRUICKSHANK (Lab)",885,+9.75464,894.75464,+8.17419,902.92883,+65.34838,968.27721,+83.69676,1051.97397,"Elected"
"Stuart FAIRWEATHER (TUSC)",250,+3.30961,253.30961,+0.17419,253.48380,+17.34838,270.83218,-270.83218,"-",
"Ken LYNN (SNP)",1240,-216.00000,1024.00000,,1024.00000,,1024.00000,,1024.00000,"Elected"
"Robbie MCKAIG (LD)",48,+1.56771,49.56771,-49.56771,"-",,"-",,"-",
"Lynne SHORT (SNP)",782,+186.20911,968.20911,+4.69676,972.90587,+24.52257,997.42844,+86.91609,1084.34453,"Elected"
"Non-transferable", ,+13.06865,13.06865,+7.00000,20.06865,+38.52257,58.59122,+83.21933,141.81055,
"Totals",4095,,4095.00000,,4095.00000,,4095.00000,,4095.00000
