"Polling","Council","ID","Ward","ID","Defending","Outgoing councillor","Cause","Remarks","Prev results","C cand","Lab cand","LD cand","Grn cand","SNP/PC cand","Other cand"
2024-06-04,"Powys",420,"Rhiwcynon",22495,"Ind","Heulwen Hulme","Resignation",,"andrewteale.me.uk/iyxw","John Yeomans","Paul Wixey","Richard Amy","Rhodri Parfitt","Ann Jones","Richard Jones (Ind), Oliver Lewis (Reform UK), David Markinson (Ind)"
2024-06-06,"N Lincs",113,"Axholme N",24133,"C","John Briggs","Death",,"andrewteale.me.uk/ilfy","Ian Bint","Lara Chaplin","Alan Kelly",,,
2024-06-06,"N Lincs",113,"Brumby",24139,"Lab","Stephen Swift","Death",,"andrewteale.me.uk/isfy","Alan Cook","Daniel Hart","Robin Abram","Peter Dennington",,
2024-06-06,"Telford/Wrekin",109,"The Nedge",24392,"Lab","Leanne Powers","Resignation",,"andrewteale.me.uk/ifpy","Richard Tyrrell","Corrine Chikandamina","Paul Bryant",,,"Sophia Vaughan-Hodkinson (Ind)"
2024-06-06,"Torbay",106,"Wellswood",20345,"C","Patrick Joyce","Death","Defected to ""Prosper Torbay""","andrewteale.me.uk/ityu","Hazel Foster","Jonathan Chant-Stevens","Peter Fenton","Jenny Giel",,"Mike Lister (Reform UK), Paul Moor (Ind)"
2024-06-13,"Greenwich",24,"Mottingham/Coldharbour/New Eltham",23302,"C","John Hills","Death",,"andrewteale.me.uk/iepx","Roger Tester","Nikki Thurlow","Ulysse Abbate","Matt Stratford",,"Mark Simpson (Reform UK)"
2024-06-13,"Highland",451,"Tain/Easter Ross",18424,"Ind","Alasdair Rhind","Death",,"andrewteale.me.uk/il6s","Eva Short",,"Barbara Cohen","Andrew Barnett","Gordon Allison","Harry Christian (Libertarian), Laura Dundas (Ind), John Shearer (Ind)"
2024-06-13,"W Duns",441,"Clydebank C",18554,"Lab ","Craig Edward","Resignation",,"andrewteale.me.uk/ijbt","Ewan McGinnigle","Fiona Hennebry","Kai Pyper",,"Marina Scanlan","Nathan Hennebry (Communist), Andrew Muir (Ind), Kelly Wilson (Sovereignty)"
2024-06-20,"Coventry",58,"Radford",1203,"Lab","Patricia Hetherton","Postponed poll","Postponed from 2024-05-04; death of candidate Dave Anderson (TUSC)","andrewteale.me.uk/irdb",,,,,,
2024-06-20,"M Devon",173,"Tiverton Westexe",22243,"LD","Jamie Frost","Disqualification","Non-attendance","andrewteale.me.uk/ibqw",,,,,,
2024-06-20,"Mansfield",305,"West Bank",23783,"C","Ben Brown","Resignation",,"andrewteale.me.uk/iz3x",,,,,,
2024-06-20,"Oxon CC",395,"Sutton Courtenay/Marcham",12624,"LD","Richard Webber","Resignation",,"andrewteale.me.uk/iuvm",,,,,,
2024-06-20,"Sefton",46,"St Oswald",926,"Lab","Paula Spencer","Death",,"andrewteale.me.uk/ic4a",,,,,,
2024-06-20,"Vale of White Horse",311,"Sutton Courtenay",17084,"LD","Richard Webber","Resignation",,"andrewteale.me.uk/izyr",,,,,,
