Election for,Glasgow 2022 - Ward 12 - Victoria Park,,,,,
Date,12 Jul 2024,,,,,
Number to be elected,3,,,,,
Valid votes,8617,,,,,
Invalid votes,0,,,,,
Quota,2155,,,,,
OpenSTV,1.7,,,,,
Election rules,Scottish STV,,,,,
,,Stage,2,Stage,3,
,First,Surplus of,,Surplus of,,
Candidates,Preferences,Eunis JASSEMI (Lab),,Feargal DALTON (SNP),,
Eunis JASSEMI (Lab),2447,-292,2155,,2155,Elected
Feargal DALTON (SNP),2291,,2291,-136,2155,Elected
Lana REID-MCCONNELL (Grn),2016,86.14904,2102.14904,97.52848,2199.67752,Elected
Ade AIBINU (C),1364,55.24516,1419.24516,3.08672,1422.33188,
James Douglas SPEIRS (LD),358,86.98428,444.98428,8.19168,453.17596,
Mahmood ULLAH (Alba),141,4.05688,145.05688,7.95424,153.01112,
Non-transferable, ,59.56464,59.56464,19.23888,78.80352,
Totals,8617,,8617,,8617,
