"Election for","Ward 6 - Gartcosh, Glenboig and Moodiesburn"
"Date","23 Mar 2020"
"Number to be elected",3
"Valid votes",4339
"Invalid votes",0
"Quota",1085.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Willie DOOLAN (Lab)",,"Greg LENNON (SNP)",,"Sean CAIRNS (UKIP)",,"John Gordon WILSON (Ind)",,"Gerry PARKER (SNP)",,"David MACLEAN (C)",
"Sean CAIRNS (UKIP)",96,+1.38270,97.38270,+1.33595,98.71865,-98.71865,"-",,"-",,"-",,"-",
"Willie DOOLAN (Lab)",1241,-156.00000,1085.00000,,1085.00000,,1085.00000,,1085.00000,,1085.00000,,1085.00000,"Elected"
"Greg LENNON (SNP)",1235,,1235.00000,-150.00000,1085.00000,,1085.00000,,1085.00000,,1085.00000,,1085.00000,"Elected"
"David MACLEAN (C)",587,+4.52520,591.52520,+0.72870,592.25390,+33.36860,625.62250,+66.62425,692.24675,+30.20245,722.44920,-722.44920,"-",
"Michael MCPAKE (Lab)",628,+123.31170,751.31170,+7.77280,759.08450,+23.00135,782.08585,+76.25545,858.34130,+212.04925,1070.39055,+299.62340,1370.01395,"Elected"
"Gerry PARKER (SNP)",274,+5.40510,279.40510,+130.43730,409.84240,+9.85865,419.70105,+59.83450,479.53555,-479.53555,"-",,"-",
"John Gordon WILSON (Ind)",278,+5.15370,283.15370,+2.91480,286.06850,+15.00000,301.06850,-301.06850,"-",,"-",,"-",
"Non-transferable", ,+16.22160,16.22160,+6.81045,23.03205,+17.49005,40.52210,+98.35430,138.87640,+237.28385,376.16025,+422.82580,798.98605,
"Totals",4339,,4339.00000,,4339.00000,,4339.00000,,4339.00000,,4339.00000,,4339.00000
