"Election for","Ward 17 - Motherwell West"
"Date","23 Mar 2020"
"Number to be elected",3
"Valid votes",4557
"Invalid votes",0
"Quota",1140.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Elaine MCSPADDEN (IANL)",,"Julie FLEMING (RISE)",,"Michael Edward ROSS (Lab)",,"Paul KELLY (Lab)",,"Meghan GALLACHER (C)",,"Jamie SUPER (SNP)",
"Julie FLEMING (RISE)",186,+21.00000,207.00000,-207.00000,"-",,"-",,"-",,"-",,"-",
"Meghan GALLACHER (C)",1002,+17.00000,1019.00000,+28.00000,1047.00000,+50.00000,1097.00000,+65.91546,1162.91546,-22.91546,1140.00000,,1140.00000,"Elected"
"Paul KELLY (Lab)",917,+6.00000,923.00000,+35.00000,958.00000,+495.00000,1453.00000,-313.00000,1140.00000,,1140.00000,,1140.00000,"Elected"
"Elaine MCSPADDEN (IANL)",87,-87.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Michael Edward ROSS (Lab)",638,+14.00000,652.00000,+21.00000,673.00000,-673.00000,"-",,"-",,"-",,"-",
"Jamie SUPER (SNP)",763,+10.00000,773.00000,+35.00000,808.00000,+26.00000,834.00000,+32.52691,866.52691,+2.25832,868.78523,-868.78523,"-",
"Annette VALENTINE (SNP)",964,+6.00000,970.00000,+39.00000,1009.00000,+38.00000,1047.00000,+32.95773,1079.95773,+1.44958,1081.40731,+772.30387,1853.71118,"Elected"
"Non-transferable", ,+13.00000,13.00000,+49.00000,62.00000,+64.00000,126.00000,+181.59990,307.59990,+19.20756,326.80746,+96.48136,423.28882,
"Totals",4557,,4557.00000,,4557.00000,,4557.00000,,4557.00000,,4557.00000,,4557.00000
