"Election for","Ward 2 - Strathmore"
"Date","08 Apr 2020"
"Number to be elected",4
"Valid votes",6877
"Invalid votes",0
"Quota",1376.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6
,"First","Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Dennis MELLOY (C)",,"Colin STEWART (C)",,"Lewis David Dawson SIMPSON (LD)",,"Michael Peregrine GALLAGHER (Grn)",,"Alan LIVINGSTONE (Ind)",
"Michael Peregrine GALLAGHER (Grn)",268,+6.73137,274.73137,+2.08728,276.81865,+0.55443,277.37308,-277.37308,"-",,"-",
"Alan LIVINGSTONE (Ind)",270,+7.22999,277.22999,+4.96830,282.19829,+1.16471,283.36300,+74.71775,358.08075,-358.08075,"-",
"Dennis MELLOY (C)",1833,-457.00000,1376.00000,,1376.00000,,1376.00000,,1376.00000,,1376.00000,"Elected"
"Fiona Janet SARWAR (SNP)",1251,+15.95584,1266.95584,+0.82438,1267.78022,+0.20760,1267.98782,+87.93703,1355.92485,+61.85970,1417.78455,"Elected"
"Lewis David Dawson SIMPSON (LD)",1342,+23.68445,1365.68445,+13.94816,1379.63261,-3.63261,1376.00000,,1376.00000,,1376.00000,"Elected"
"Colin STEWART (C)",1047,+371.97052,1418.97052,-42.97052,1376.00000,,1376.00000,,1376.00000,,1376.00000,"Elected"
"Ian STRATTON (SNP)",866,+2.74241,868.74241,+0.37820,869.12061,+0.39270,869.51331,+29.67003,899.18334,+41.57654,940.75988,
"Non-transferable", ,+28.68542,28.68542,+20.76420,49.44962,+1.31317,50.76279,+85.04827,135.81106,+254.64451,390.45557,
"Totals",6877,,6877.00000,,6877.00000,,6877.00000,,6877.00000,,6877.00000
