Election for,East Dunbartonshire 2022 - Ward 7 - Kirkintilloch East & North & Twechar,,,,,
Date,26 Dec 2024,,,,,
Number to be elected,3,,,,,
Valid votes,5389,,,,,
Invalid votes,0,,,,,
Quota,1348,,,,,
OpenSTV,1.7,,,,,
Election rules,Scottish STV,,,,,
 ,,Stage,2,Stage,3,
 ,First,Surplus of,,Surplus of,,
Candidates,Preferences,Pamela MARSHALL (SNP),,Stewart MACDONALD (Lab),,
Pamela MARSHALL (SNP),2095,-747,1348,,1348,Elected
Stewart MACDONALD (Lab),1572,,1572,-224,1348,Elected
Susan MURRAY (LD),1006,301.64976,1307.64976,96.75071,1404.40047,Elected
Josephine MACLEOD (C),644,19.6108,663.6108,29.21045,692.82125,
Alan MCMANUS (FdmAll),72,108.7508,180.7508,18.38121,199.13201,
Non-transferable,,316.98864,316.98864,79.65763,396.64627,
Totals,5389,,5389,,5389,
