"Election for","Annandale South"
"Date","20 May 2020"
"Number to be elected",4
"Valid votes",5149
"Invalid votes",0
"Quota",1030.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Ian CARRUTHERS (C)",,"Richard BRODIE (LD)",,"Peter James Gavin MCKAIN (Libtn)",,"Ronnie OGILVIE (Lab)",,"Sean MARSHALL (Lab)",,"Allan WEILD (Ind)",
"Richard BRODIE (LD)",1008,+175.72756,1183.72756,-153.72756,1030.00000,,1030.00000,,1030.00000,,1030.00000,,1030.00000,"Elected"
"Ian CARRUTHERS (C)",1621,-591.00000,1030.00000,,1030.00000,,1030.00000,,1030.00000,,1030.00000,,1030.00000,"Elected"
"Sean MARSHALL (Lab)",701,+67.08272,768.08272,+43.22120,811.30392,+8.40080,819.70472,+370.94278,1190.64750,-160.64750,1030.00000,,1030.00000,"Elected"
"Henry MCCLELLAND (SNP)",917,+16.40610,933.40610,+17.13196,950.53806,+0.12986,950.66792,+21.50832,972.17624,+26.88079,999.05703,+152.99254,1152.04957,"Elected"
"Peter James Gavin MCKAIN (Libtn)",23,+8.02076,31.02076,+3.53184,34.55260,-34.55260,"-",,"-",,"-",,"-",
"Ronnie OGILVIE (Lab)",429,+22.60396,451.60396,+16.13086,467.73482,+2.89618,470.63100,-470.63100,"-",,"-",,"-",
"Allan WEILD (Ind)",450,+100.98866,550.98866,+34.59354,585.58220,+14.09962,599.68182,+35.30552,634.98734,+39.22271,674.21005,-674.21005,"-",
"Non-transferable", ,+200.17024,200.17024,+39.11816,239.28840,+9.02614,248.31454,+42.87438,291.18892,+94.54400,385.73292,+521.21751,906.95043,
"Totals",5149,,5149.00000,,5149.00000,,5149.00000,,5149.00000,,5149.00000,,5149.00000
