"2007 SCOTTISH LOCAL ELECTION RESULTS";;;;;;;;;;;;;;;;;;;
"District";"Ward";"Candidate";"Party";"First prefs";"Elected";;;;;;;;;;;;;;
"Aberdeen";"Airyhall/Broomhill/Garthdee";"Jill Wisely ";"C";1911;1;;;;;;;;;;;;;;
"Aberdeen";"Airyhall/Broomhill/Garthdee";"Scott Cassie ";"LD";1365;1;;;;;;;;;;;;;;
"Aberdeen";"Airyhall/Broomhill/Garthdee";"Ian Yuill ";"LD";1257;1;;;;;;;;;;;;;;
"Aberdeen";"Airyhall/Broomhill/Garthdee";"Rigg Robertson ";"SNP";1207;;;;;;;;;;;;;;;
"Aberdeen";"Airyhall/Broomhill/Garthdee";"Allan McIntosh ";"Lab";894;;;;;;;;;;;;;;;
"Aberdeen";"Airyhall/Broomhill/Garthdee";"Graham Bennett ";"Ind";332;;;;;;;;;;;;;;;
"Aberdeen";"Bridge of Don";"Muriel Jaffrey ";"SNP";2805;1;;;;;;;;;;;;;;
"Aberdeen";"Bridge of Don";"Willie Young ";"Lab";1615;1;;;;;;;;;;;;;;
"Aberdeen";"Bridge of Don";"John Reynolds ";"LD";1411;1;;;;;;;;;;;;;;
"Aberdeen";"Bridge of Don";"Gordon Leslie ";"LD";731;1;;;;;;;;;;;;;;
"Aberdeen";"Bridge of Don";"Brian Davidson ";"C";610;;;;;;;;;;;;;;;
"Aberdeen";"Bridge of Don";"Millie McLeod ";"LD";404;;;;;;;;;;;;;;;
"Aberdeen";"Bridge of Don";"Hamish Mackay ";"Ind";146;;;;;;;;;;;;;;;
"Aberdeen";"Dyce/Buckburn/Danestone";"Mark McDonald ";"SNP";2620;1;;;;;;;;;;;;;;
"Aberdeen";"Dyce/Buckburn/Danestone";"Barney Crockett ";"Lab";1801;1;;;;;;;;;;;;;;
"Aberdeen";"Dyce/Buckburn/Danestone";"Ron Clark ";"LD";1534;1;;;;;;;;;;;;;;
"Aberdeen";"Dyce/Buckburn/Danestone";"Avril MacKenzie ";"C";603;;;;;;;;;;;;;;;
"Aberdeen";"Dyce/Buckburn/Danestone";"George Penny ";"LD";360;1;;;;;;;;;;;;;;
"Aberdeen";"Dyce/Buckburn/Danestone";"Rhonda Reekie ";"Grn";147;;;;;;;;;;;;;;;
"Aberdeen";"Dyce/Buckburn/Danestone";"Angela Dunn ";"Ind";116;;;;;;;;;;;;;;;
"Aberdeen";"Dyce/Buckburn/Danestone";"Dennis Grattan ";"Ind";57;;;;;;;;;;;;;;;
"Aberdeen";"George Street/Harbour";"Andrew May ";"SNP";1272;1;;;;;;;;;;;;;;
"Aberdeen";"George Street/Harbour";"Jim Hunter ";"Lab";960;1;;;;;;;;;;;;;;
"Aberdeen";"George Street/Harbour";"John Stewart ";"LD";801;1;;;;;;;;;;;;;;
"Aberdeen";"George Street/Harbour";"Tauqeer Malik ";"Lab";322;;;;;;;;;;;;;;;
"Aberdeen";"George Street/Harbour";"Clive Kempe ";"Grn";306;;;;;;;;;;;;;;;
"Aberdeen";"George Street/Harbour";"Alexander Olsen ";"C";261;;;;;;;;;;;;;;;
