"Election for","Ward 3 - Livingston North"
"Date","14 Apr 2020"
"Number to be elected",4
"Valid votes",7622
"Invalid votes",0
"Quota",1525.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Alison ADAMSON (C)",,"Mark WILKINSON (Grn)",,"Caron LINDSAY (LD)",,"Anne MCMILLAN (Lab)",,"Dom MCGUIRE (Lab)",,"Lorna Menzies CRAIG (SNP)",
"Alison ADAMSON (C)",1940,-415.00000,1525.00000,,1525.00000,,1525.00000,,1525.00000,,1525.00000,,1525.00000,"Elected"
"Lorna Menzies CRAIG (SNP)",1107,+7.91467,1114.91467,+26.21391,1141.12858,+22.06955,1163.19813,+17.42782,1180.62595,+29.70306,1210.32901,-1210.32901,"-",
"Robert DE BOLD (SNP)",1243,+10.90941,1253.90941,+25.21391,1279.12332,+23.78083,1302.90415,+24.42782,1327.33197,+20.16764,1347.49961,+813.27200,2160.77161,"Elected"
"Caron LINDSAY (LD)",250,+110.37756,360.37756,+56.62595,417.00351,-417.00351,"-",,"-",,"-",,"-",
"Dom MCGUIRE (Lab)",993,+83.63881,1076.63881,+15.06955,1091.70836,+116.93688,1208.64524,+689.64816,1898.29340,-373.29340,1525.00000,,1525.00000,"Elected"
"Anne MCMILLAN (Lab)",726,+37.64816,763.64816,+18.13910,781.78726,+71.18235,852.96961,-852.96961,"-",,"-",,"-",
"Andrew MILLER (SNP)",1170,+4.91993,1174.91993,+31.64173,1206.56166,+28.35301,1234.91467,+25.06955,1259.98422,+36.64226,1296.62648,+309.47270,1606.09918,"Elected"
"Mark WILKINSON (Grn)",193,+19.67972,212.67972,-212.67972,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+139.91174,139.91174,+39.77557,179.68731,+154.68089,334.36820,+96.39626,430.76446,+286.78044,717.54490,+87.58431,805.12921,
"Totals",7622,,7622.00000,,7622.00000,,7622.00000,,7622.00000,,7622.00000,,7622.00000
