"Election for","Ward 12 Victoria Park"
"Date","17 Apr 2020"
"Number to be elected",3
"Valid votes",8517
"Invalid votes",0
"Quota",2130.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Feargal DALTON (SNP)",,"Matt MCGRATH (TUSC)",,"James Douglas SPEIRS (LD)",,"Ade AIBINU (C)",,"Deirdre PARKINSON (SNP)",,"Allan FAULDS (Grn)",
"Ade AIBINU (C)",2018,+1.57470,2019.57470,+3.00000,2022.57470,+126.10498,2148.67968,-18.67968,2130.00000,,2130.00000,,2130.00000,"Elected"
"Feargal DALTON (SNP)",2248,-118.00000,2130.00000,,2130.00000,,2130.00000,,2130.00000,,2130.00000,,2130.00000,"Elected"
"Allan FAULDS (Grn)",1150,+22.67568,1172.67568,+18.10498,1190.78066,+145.94482,1336.72548,+2.83609,1339.56157,+597.81276,1937.37433,-1937.37433,"-",
"Matt MCGRATH (TUSC)",52,+0.99731,52.99731,-52.99731,"-",,"-",,"-",,"-",,"-",
"Maggie MCTERNAN (Lab)",1701,+5.40647,1706.40647,+16.26245,1722.66892,+149.41992,1872.08884,+7.05808,1879.14692,+98.09870,1977.24562,+1024.13659,3001.38221,"Elected"
"Deirdre PARKINSON (SNP)",856,+80.57215,936.57215,+4.47241,941.04456,+20.52490,961.56946,+0.45638,962.02584,-962.02584,"-",,"-",
"James Douglas SPEIRS (LD)",492,+2.25707,494.25707,+3.05249,497.30956,-497.30956,"-",,"-",,"-",,"-",
"Non-transferable", ,+4.51662,4.51662,+8.10498,12.62160,+55.31494,67.93654,+8.32913,76.26567,+266.11438,342.38005,+913.23774,1255.61779,
"Totals",8517,,8517.00000,,8517.00000,,8517.00000,,8517.00000,,8517.00000,,8517.00000
