"Election for","Ward 17 - North Kincardine"
"Date","27 Apr 2020"
"Number to be elected",4
"Valid votes",5531
"Invalid votes",0
"Quota",1107.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3
,"First","Surplus of",,"Surplus of",
"Candidates","Preferences","Colin PIKE (C)",,"Ian James MOLLISON (LD)",
"William Patrick BALL (Grn)",180,+44.24958,224.24958,+13.63056,237.88014,
"Alastair BEWS (SNP)",1138,,1138.00000,,1138.00000,"Elected"
"Alison Elizabeth McBean EVISON (Lab)",901,+173.91114,1074.91114,+49.76088,1124.67202,"Elected"
"David Michael LANSDELL (SDP)",48,+47.33676,95.33676,+5.32152,100.65828,
"Ian James MOLLISON (LD)",1221,,1221.00000,-114.00000,1107.00000,"Elected"
"Colin PIKE (C)",1685,-578.00000,1107.00000,,1107.00000,"Elected"
"Kes SMITH (SNP)",358,+17.49402,375.49402,+11.67000,387.16402,
"Non-transferable", ,+295.00850,295.00850,+33.61704,328.62554,
"Totals",5531,,5531.00000,,5531.00000
